GENESIS-Tabelle: 12521-0001
Foreigners: Germany, reference date, sex/age years/marital;;;
status;;;
Statistics of foreigners;;;
Germany;;;
Foreigners (number);;;
;Sex;Sex;Sex
;Male;Female;Total
1967-09-30;1208319;598334;1806653
1968-09-30;1257310;666919;1924229
1969-09-30;1519125;861936;2381061
1970-09-30;1884203;1092294;2976497
1971-09-30;2159684;1279027;3438711
1972-09-30;2197312;1329256;3526568
1973-09-30;2451498;1514702;3966200
1974-09-30;2530574;1596792;4127366
1975-09-30;2440092;1649502;4089594
1976-09-30;2325287;1623050;3948337
1977-09-30;2319787;1628491;3948278
1978-09-30;2319966;1661095;3981061
1979-09-30;2399442;1744394;4143836
1980-09-30;2619227;1834081;4453308
1981-09-30;2710196;1919533;4629729
1982-09-30;2708970;1957947;4666917
1983-09-30;2609531;1925332;4534863
1984-09-30;2499500;1864148;4363648
1985-12-31;2504858;1874084;4378942
1986-12-31;2576707;1935972;4512679
1987-12-31;2627728;2002490;4630218
1988-12-31;2466784;2022321;4489105
1989-12-31;2666469;2179413;4845882
1990-12-31;3011758;2330729;5342487
1991-12-31;3340889;2541378;5882267
1992-12-31;3719663;2776129;6495792
1993-12-31;3921481;2956636;6878117
1994-12-31;3945050;3045460;6990510
1995-12-31;4024385;3149481;7173866
1996-12-31;4078257;3235789;7314046
1997-12-31;4076962;3288871;7365833
1998-12-31;4026003;3293590;7319593
1999-12-31;4012003;3331588;7343591
2000-12-31;3959376;3337441;7296817
2001-12-31;3948518;3370110;7318628
2002-12-31;3926764;3408828;7335592
2003-12-31;3894781;3439984;7334765
2004-12-31;3498410;3218705;6717115
2005-12-31;3493799;3262011;6755810
2006-12-31;3475273;3275731;6751004
2007-12-31;3459799;3285080;6744879
2008-12-31;3441282;3286336;6727618
2009-12-31;3411832;3282944;6694776
2010-12-31;3442448;3311173;6753621
2011-12-31;3546660;3384236;6930896
2012-12-31;3711325;3502383;7213708
2013-12-31;3958619;3675009;7633628
2014-12-31;4264511;3888457;8152968
2015-12-31;4873294;4234599;9107893
2016-12-31;5429425;4609655;10039080
2017-12-31;5742180;4881760;10623940
2018-12-31;5872480;5042975;10915455
2019-12-31;6013925;5214370;11228300
2020-12-31;6102625;5329835;11432460
2021-12-31;6306795;5510995;11817790
2022-12-31;7005400;6378510;13383910
2023-12-31;7305525;6590340;13895865
__________
Until 1989-12-31: Former territory of the Federal Republic.
© Federal Statistical Office, Wiesbaden 2024
created: 2024-05-02 / 09:45:31
